dep;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
01;2021-03-28;56163;20206;656955.0;8.5;3.1
02;2021-03-28;58300;20207;526050.0;11.1;3.8
03;2021-03-28;53250;24541;331315.0;16.1;7.4
04;2021-03-28;22528;9537;165197.0;13.6;5.8
05;2021-03-28;19064;6255;141756.0;13.4;4.4
06;2021-03-28;178110;54536;1079396.0;16.5;5.1
07;2021-03-28;42456;16244;326875.0;13.0;5.0
08;2021-03-28;35160;11752;265531.0;13.2;4.4
09;2021-03-28;19968;7548;152398.0;13.1;5.0
10;2021-03-28;40965;13423;309907.0;13.2;4.3
11;2021-03-28;44175;16176;372705.0;11.9;4.3
12;2021-03-28;40945;18567;278360.0;14.7;6.7
13;2021-03-28;239088;87400;2034469.0;11.8;4.3
14;2021-03-28;92267;32078;691453.0;13.3;4.6
15;2021-03-28;21019;9738;142811.0;14.7;6.8
16;2021-03-28;43128;20220;348180.0;12.4;5.8
17;2021-03-28;92558;39626;647080.0;14.3;6.1
18;2021-03-28;37788;18095;296404.0;12.7;6.1
19;2021-03-28;37729;14411;240336.0;15.7;6.0
21;2021-03-28;73295;25059;532886.0;13.8;4.7
22;2021-03-28;91259;33962;596186.0;15.3;5.7
23;2021-03-28;17833;8329;116270.0;15.3;7.2
24;2021-03-28;51349;19365;408393.0;12.6;4.7
25;2021-03-28;61372;24915;539449.0;11.4;4.6
26;2021-03-28;67923;22217;520560.0;13.0;4.3
27;2021-03-28;63002;19974;600687.0;10.5;3.3
28;2021-03-28;46763;17613;429425.0;10.9;4.1
29;2021-03-28;116805;42937;906554.0;12.9;4.7
2A;2021-03-28;28313;9871;162421.0;17.4;6.1
2B;2021-03-28;27242;10974;182258.0;14.9;6.0
30;2021-03-28;94194;33174;748468.0;12.6;4.4
31;2021-03-28;132655;50051;1400935.0;9.5;3.6
32;2021-03-28;24529;12841;190040.0;12.9;6.8
33;2021-03-28;191954;62499;1633440.0;11.8;3.8
34;2021-03-28;147759;48256;1176145.0;12.6;4.1
35;2021-03-28;117928;41642;1082073.0;10.9;3.8
36;2021-03-28;32242;14558;217139.0;14.8;6.7
37;2021-03-28;68451;24218;605380.0;11.3;4.0
38;2021-03-28;144397;45030;1264979.0;11.4;3.6
39;2021-03-28;36635;18375;257849.0;14.2;7.1
40;2021-03-28;56519;21105;411979.0;13.7;5.1
41;2021-03-28;40182;16599;327835.0;12.3;5.1
42;2021-03-28;90015;33331;764737.0;11.8;4.4
43;2021-03-28;33978;13825;226901.0;15.0;6.1
44;2021-03-28;139600;50408;1437137.0;9.7;3.5
45;2021-03-28;64639;28004;682890.0;9.5;4.1
46;2021-03-28;25440;10418;173166.0;14.7;6.0
47;2021-03-28;36142;13683;330336.0;10.9;4.1
48;2021-03-28;10785;5194;76286.0;14.1;6.8
49;2021-03-28;94729;33288;815881.0;11.6;4.1
50;2021-03-28;69972;25156;490669.0;14.3;5.1
51;2021-03-28;69609;19174;563823.0;12.3;3.4
52;2021-03-28;18752;6841;169250.0;11.1;4.0
53;2021-03-28;39140;14062;305365.0;12.8;4.6
54;2021-03-28;93789;26720;730398.0;12.8;3.7
55;2021-03-28;19304;6782;181641.0;10.6;3.7
56;2021-03-28;94655;37449;755566.0;12.5;5.0
57;2021-03-28;164384;56886;1035866.0;15.9;5.5
58;2021-03-28;32167;13261;199596.0;16.1;6.6
59;2021-03-28;322539;85309;2588988.0;12.5;3.3
60;2021-03-28;87874;23066;825077.0;10.7;2.8
61;2021-03-28;39473;17211;276903.0;14.3;6.2
62;2021-03-28;210241;40193;1452778.0;14.5;2.8
63;2021-03-28;82564;26337;660240.0;12.5;4.0
64;2021-03-28;98907;35832;683169.0;14.5;5.2
65;2021-03-28;32330;13846;226839.0;14.3;6.1
66;2021-03-28;60775;27841;479000.0;12.7;5.8
67;2021-03-28;124814;46578;1132607.0;11.0;4.1
68;2021-03-28;93539;34493;763204.0;12.3;4.5
69;2021-03-28;197277;56635;1876051.0;10.5;3.0
70;2021-03-28;28881;9085;233194.0;12.4;3.9
71;2021-03-28;80965;26608;547824.0;14.8;4.9
72;2021-03-28;50848;20956;560227.0;9.1;3.7
73;2021-03-28;52483;20666;432548.0;12.1;4.8
74;2021-03-28;78315;23460;828405.0;9.5;2.8
75;2021-03-28;307753;87273;2148271.0;14.3;4.1
76;2021-03-28;160622;51126;1243788.0;12.9;4.1
77;2021-03-28;118841;32587;1423607.0;8.3;2.3
78;2021-03-28;140463;37763;1448625.0;9.7;2.6
79;2021-03-28;43929;16730;372627.0;11.8;4.5
80;2021-03-28;71274;21948;569769.0;12.5;3.9
81;2021-03-28;46953;18295;387898.0;12.1;4.7
82;2021-03-28;29273;13837;262618.0;11.1;5.3
83;2021-03-28;134314;47606;1073836.0;12.5;4.4
84;2021-03-28;60411;23830;560997.0;10.8;4.2
85;2021-03-28;81697;31681;683187.0;12.0;4.6
86;2021-03-28;57425;22718;437398.0;13.1;5.2
87;2021-03-28;52075;17542;370774.0;14.0;4.7
88;2021-03-28;51004;18882;359520.0;14.2;5.3
89;2021-03-28;41958;14522;332096.0;12.6;4.4
90;2021-03-28;20187;8306;140145.0;14.4;5.9
91;2021-03-28;121514;36692;1319401.0;9.2;2.8
92;2021-03-28;157838;43954;1613762.0;9.8;2.7
93;2021-03-28;127614;36502;1670149.0;7.6;2.2
94;2021-03-28;137097;40476;1406041.0;9.8;2.9
95;2021-03-28;116220;32976;1248354.0;9.3;2.6
971;2021-03-28;8583;3244;376879.0;2.3;0.9
972;2021-03-28;11600;4367;358749.0;3.2;1.2
973;2021-03-28;8666;3568;290691.0;3.0;1.2
974;2021-03-28;34574;17856;859959.0;4.0;2.1
976;2021-03-28;8581;3765;279471.0;3.1;1.3
977;2021-03-28;545;184;9961.0;5.5;1.8
978;2021-03-28;889;489;35334.0;2.5;1.4
