dep;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
01;2021-04-25;114594;42796;656955.0;17.4;6.5
02;2021-04-25;103098;44661;526050.0;19.6;8.5
03;2021-04-25;87122;40300;331315.0;26.3;12.2
04;2021-04-25;40051;16979;165197.0;24.2;10.3
05;2021-04-25;34967;14563;141756.0;24.7;10.3
06;2021-04-25;299621;134770;1079396.0;27.8;12.5
07;2021-04-25;76373;32386;326875.0;23.4;9.9
08;2021-04-25;64083;24760;265531.0;24.1;9.3
09;2021-04-25;41802;16618;152398.0;27.4;10.9
10;2021-04-25;74692;32873;309907.0;24.1;10.6
11;2021-04-25;84285;32321;372705.0;22.6;8.7
12;2021-04-25;78708;33049;278360.0;28.3;11.9
13;2021-04-25;443096;198534;2034469.0;21.8;9.8
14;2021-04-25;169061;63971;691453.0;24.5;9.3
15;2021-04-25;40212;15648;142811.0;28.2;11.0
16;2021-04-25;83850;31947;348180.0;24.1;9.2
17;2021-04-25;170895;68233;647080.0;26.4;10.5
18;2021-04-25;73395;29985;296404.0;24.8;10.1
19;2021-04-25;63298;28970;240336.0;26.3;12.1
21;2021-04-25;115758;52747;532886.0;21.7;9.9
22;2021-04-25;168619;72979;596186.0;28.3;12.2
23;2021-04-25;33978;14706;116270.0;29.2;12.6
24;2021-04-25;107482;37898;408393.0;26.3;9.3
25;2021-04-25;102596;45726;539449.0;19.0;8.5
26;2021-04-25;115604;49076;520560.0;22.2;9.4
27;2021-04-25;113902;49393;600687.0;19.0;8.2
28;2021-04-25;94210;34460;429425.0;21.9;8.0
29;2021-04-25;224149;77509;906554.0;24.7;8.5
2A;2021-04-25;49662;24692;162421.0;30.6;15.2
2B;2021-04-25;50750;22965;182258.0;27.8;12.6
30;2021-04-25;171853;74188;748468.0;23.0;9.9
31;2021-04-25;275922;87607;1400935.0;19.7;6.3
32;2021-04-25;50145;17557;190040.0;26.4;9.2
33;2021-04-25;368644;126169;1633440.0;22.6;7.7
34;2021-04-25;259487;105321;1176145.0;22.1;9.0
35;2021-04-25;225987;77596;1082073.0;20.9;7.2
36;2021-04-25;58100;24872;217139.0;26.8;11.5
37;2021-04-25;132269;43438;605380.0;21.8;7.2
38;2021-04-25;256804;99512;1264979.0;20.3;7.9
39;2021-04-25;57318;28380;257849.0;22.2;11.0
40;2021-04-25;107639;40680;411979.0;26.1;9.9
41;2021-04-25;78848;32145;327835.0;24.1;9.8
42;2021-04-25;175243;68454;764737.0;22.9;9.0
43;2021-04-25;52687;27359;226901.0;23.2;12.1
44;2021-04-25;278065;93373;1437137.0;19.3;6.5
45;2021-04-25;125232;47884;682890.0;18.3;7.0
46;2021-04-25;49377;21598;173166.0;28.5;12.5
47;2021-04-25;76711;27835;330336.0;23.2;8.4
48;2021-04-25;19282;8599;76286.0;25.3;11.3
49;2021-04-25;186722;66115;815881.0;22.9;8.1
50;2021-04-25;133672;54540;490669.0;27.2;11.1
51;2021-04-25;116545;47726;563823.0;20.7;8.5
52;2021-04-25;41170;14437;169250.0;24.3;8.5
53;2021-04-25;66220;29712;305365.0;21.7;9.7
54;2021-04-25;159328;67751;730398.0;21.8;9.3
55;2021-04-25;43730;13890;181641.0;24.1;7.6
56;2021-04-25;194030;65524;755566.0;25.7;8.7
57;2021-04-25;236541;127576;1035866.0;22.8;12.3
58;2021-04-25;55580;25327;199596.0;27.8;12.7
59;2021-04-25;532907;221148;2588988.0;20.6;8.5
60;2021-04-25;158427;71704;825077.0;19.2;8.7
61;2021-04-25;77502;32197;276903.0;28.0;11.6
62;2021-04-25;337291;146109;1452778.0;23.2;10.1
63;2021-04-25;145482;56440;660240.0;22.0;8.5
64;2021-04-25;187230;75827;683169.0;27.4;11.1
